compound,created_at,source,text,user_location,user_name
0.0,Thu May 23 06:59:34 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#ResultsWithDDNews
#ElectionResults2019.","Vijayawada, India",AndhraDDNews
-0.0772,Thu May 23 06:59:34 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…",,Sruti Ghosh
0.5267,Thu May 23 06:59:34 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Pun_Starr: BJP is getting a thumping majority once again. Congrats to Modiji, Amit Shah, Zee, Republic, Times Now, ABP, Aaj Tak, Electi…","Mumbai, India",Aditya Keswani
-0.0772,Thu May 23 06:59:35 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…","Greater Noida, India",Prabhat Shandilya
0.5972,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MrsGandhi: Meanwhile in Amethi, @smritiirani has left @RahulGandhi far far behind and is comfortable leading!! She is leading in 5 out…",,Chowkidar Preethy Shetty
0.4404,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The first step to becoming better is admitting one needs to change.
#ElectionResults2019",Bangalore,Karthik C P
0.0,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Congress in Rajasthan 

#ElectionResults2019 https://t.co/HwWujIp4eA","Rajasthan, India",Prashant
0.1779,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @chetan_bhagat: The day the family became a liability rather than an asset. #ElectionResults2019,,Amit Shroti
0.0,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @vivekagnihotri: BJP ab lagbhag jeet hi gayi hai. Par ek baat tay hai ki AAP poori tarah se dhwast ho gayi hai. #ElectionResults2019,Dehradun,Chowkidaar Smit Agarwal
0.4019,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @manakgupta: BJP makes a clean sweep in Delhi, Uttarakhand, Himachal, Gujarat, Rajasthan, Arunachal, Tripura #ElectionResults2019",Bhopal ,Abhimanyu Abhi
-0.0772,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…","Hyderabad, India",Sathiya Chidambaram
0.0,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Amethi #SmritiIrani leads by 5,000 votes against #RahulGandhi 

#LokSabhaElections2019 #ElectionResults2019… https://t.co/UKNWjZlye4",India,gallinews.com
0.69,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SriniMaama16: NaMo: You are good man. Thank you!
#ElectionResults2019 https://t.co/Vqqv0fIBvC",bangalore,balaji a
0.25,Thu May 23 06:59:35 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Pun_Starr: According to trends, we can continue making Modi jokes for another 5 years. #ElectionResults2019",,What’s In The Name???
-0.4824,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@AatishTaseer FLOP,"Mumbai, India",theoritical
0.25,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Pun_Starr: According to trends, we can continue making Modi jokes for another 5 years. #ElectionResults2019","Dehradun, India",Rizwan Ali
0.3506,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TheTweetOfGod: Congratulations India on completing the largest election in human history. 
Obviously you're not My territory, but I hea…","Bengaluru, India",de1ng
0.2023,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Vishj05: Sadhvi Pragya is winning and India is losing.
#IndiaElections2019 
#ElectionResults2019",Janu ki Yaad Maine ,.
0.5972,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MrsGandhi: Meanwhile in Amethi, @smritiirani has left @RahulGandhi far far behind and is comfortable leading!! She is leading in 5 out…",,Ramyavaran
0.0,Thu May 23 06:59:36 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","As per latest trends available for all the 542 constituencies, BJP is leading in 292 while INC is leading in 51, DM… https://t.co/3GgNd26yxT", India,Gopal Govind
-0.4062,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Babu_Bhaiyaa: So much excitement in Republic TV studio.. that if Arnab had a pistol or battle tank with him.. he would have fired 3-4 r…,,Chowkidaar anilkumarsharma
0.34,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iimcomic: When they make a biopic on Arnab Goswami, Ranveer Singh will play him.

#ElectionResults2019",Delhi-Mumbai,Salesman
0.8555,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Babu_Bhaiyaa: Now when Sunny Deol sahab has won the election, I hope he'll be made Lok shabha speaker. Can't wait to see the moment whe…",Ghar-Office-Ghar,Ron
-0.0772,Thu May 23 06:59:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…","Bidar, India",Niteesh SK
0.926,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SadhguruJV: Humility in Victory and Gracefulness in Defeat is the mark of great men. It takes great men to build a Great Nation. -Sg #E…,Qatar,Vortex Generator
0.0,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YRDeshmukh: #ElectionResults2019 
This. Is. It. https://t.co/Iay6DQkK9J",,AhiMsaG
0.0,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HiremathTnie: #Dharwad #ElectionResults2019 #countingday @KiranTNIE1 @Amitsen_TNIE @XpressBengaluru

BJP candidate Prahlad Joshi 157476…",Hubballi,@Kiran_TNIE
0.0,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TheUnRealTimes: JUST IN: Pakistan declares that its air space will remain closed for another five years. #ElectionResults2019,,nitin sharma
0.5267,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @manakgupta: BJP+ is winning Arunachal Pradesh assembly election too #ElectionResults2019,"Surat, Gujarat",Sundeep Bajaj
0.4019,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Akshay09416538: #ElectionResults2019
 #Amethi #ModiAaRahaHai 

All opposition parties Right now https://t.co/OmjvkhTKdQ",,Ramesh
0.0,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#OdishaElectionResults: Congress candidate Chandra Sekhar Majhi leading from Kotpad Assembly seat… https://t.co/XU0zX2DZF4,Odisha,Odisha Sun Times
